instrument_id,start,end,quality,note
sky-camera-seattle,2024-07-26T02:02:00Z,2024-07-26T02:18:00Z,good,
sphere-vlf-seattle,2024-07-26T23:40:00Z,2024-07-27T18:51:00Z,good,
sky-camera-seattle,2024-07-27T03:14:00Z,2024-07-27T05:00:00Z,good,
sky-camera-seattle,2024-07-27T05:00:00Z,2024-07-27T06:00:00Z,degraded,Last half hour Data lost
sky-camera-seattle,2024-07-27T06:00:00Z,2024-07-27T06:13:00Z,good,
sky-camera-seattle,2024-07-28T01:46:00Z,2024-07-28T06:00:00Z,good,
sphere-vlf-seattle,2024-07-28T03:58:00Z,2024-07-29T00:00:00Z,good,
sky-camera-seattle,2024-07-28T06:00:00Z,2024-07-28T07:00:00Z,degraded,Minor data lost
sky-camera-seattle,2024-07-28T07:00:00Z,2024-07-28T07:22:00Z,good,
sphere-vlf-seattle,2024-07-29T00:00:00Z,2024-07-29T01:00:00Z,degraded,Minor Data Lost Can be Recovered
sphere-vlf-seattle,2024-07-29T01:00:00Z,2024-07-29T03:58:00Z,good,
sky-camera-seattle,2024-07-29T01:31:00Z,2024-07-29T07:19:00Z,good,
sphere-vlf-seattle,2024-07-29T10:03:00Z,2024-07-29T11:00:00Z,lost,Start: 10:03 Major Data Lost
sphere-vlf-seattle,2024-07-29T11:00:00Z,2024-07-29T12:00:00Z,good,
sphere-vlf-seattle,2024-07-29T12:00:00Z,2024-07-29T13:00:00Z,degraded,Minor Data Lost Can be Recovered
sphere-vlf-seattle,2024-07-29T13:00:00Z,2024-07-29T14:00:00Z,degraded,Minor Data Lost Can be Recovered
sphere-vlf-seattle,2024-07-29T14:00:00Z,2024-07-29T15:00:00Z,good,
sphere-vlf-seattle,2024-07-29T15:00:00Z,2024-07-29T16:00:00Z,degraded,Minor Data Lost Can be Recovered
sphere-vlf-seattle,2024-07-29T16:00:00Z,2024-07-30T01:24:00Z,good,
sphere-vlf-seattle,2024-07-30T18:18:00Z,2024-07-31T10:42:00Z,good,
sphere-vlf-seattle,2024-08-01T00:20:00Z,2024-08-02T17:10:00Z,good,
sphere-vlf-seattle,2024-08-03T08:08:00Z,2024-08-03T21:28:00Z,good,
sphere-vlf-seattle,2024-08-04T01:27:00Z,2024-08-06T10:58:00Z,good,
sphere-vlf-seattle,2024-08-06T12:23:00Z,2024-08-06T14:23:00Z,good,
sphere-vlf-seattle,2024-08-06T16:23:00Z,2024-08-06T17:23:00Z,good,
sphere-vlf-seattle,2024-08-07T00:43:00Z,2024-08-08T01:13:00Z,good,
sphere-vlf-seattle,2024-08-08T04:53:00Z,2024-08-08T19:22:00Z,good,
sphere-vlf-seattle,2024-08-08T20:40:00Z,2024-08-08T22:53:00Z,good,
sphere-vlf-seattle,2024-08-08T23:25:00Z,2024-08-10T23:25:00Z,good,
sphere-vlf-seattle,2024-08-11T00:38:00Z,2024-08-12T13:29:00Z,good,
sphere-vlf-seattle,2024-08-12T23:33:00Z,2024-08-13T20:25:00Z,good,
vectaire-magnetometer-seattle,2024-08-13T19:25:00Z,2024-08-16T15:19:00Z,good,
sphere-vlf-seattle,2024-08-14T01:00:00Z,2024-08-14T01:20:00Z,good,
sphere-vlf-seattle,2024-08-14T04:19:00Z,2024-08-14T10:09:00Z,good,
sphere-vlf-seattle,2024-08-14T21:09:00Z,2024-08-16T23:59:00Z,good,
sky-camera-seattle,2024-08-15T01:12:00Z,2024-08-15T09:34:00Z,good,
sky-camera-seattle,2024-08-16T03:53:00Z,2024-08-16T09:35:00Z,good,
vectaire-magnetometer-seattle,2024-08-16T15:47:00Z,2024-08-21T15:13:00Z,good,
sphere-vlf-seattle,2024-08-20T00:26:00Z,2024-08-20T13:58:00Z,good,
sphere-vlf-seattle,2024-08-20T21:20:00Z,2024-08-23T14:10:00Z,good,
vectaire-magnetometer-seattle,2024-08-21T15:38:00Z,2024-08-26T16:38:00Z,good,
sky-camera-seattle,2024-08-22T04:25:00Z,2024-08-22T09:45:00Z,good,
sky-camera-seattle,2024-08-23T01:43:00Z,2024-08-23T09:47:00Z,good,
sky-camera-seattle,2024-08-24T00:59:00Z,2024-08-24T09:49:00Z,good,
sphere-vlf-seattle,2024-08-24T01:18:00Z,2024-08-24T23:35:00Z,good,
sphere-vlf-seattle,2024-08-25T00:00:00Z,2024-08-25T15:02:00Z,good,
sky-camera-seattle,2024-08-25T01:01:00Z,2024-08-25T09:51:00Z,good,
sphere-vlf-seattle,2024-08-25T19:01:00Z,2024-08-26T00:59:00Z,good,
sphere-vlf-seattle,2024-08-26T02:06:00Z,2024-08-27T16:13:00Z,good,
vectaire-magnetometer-seattle,2024-08-27T15:54:00Z,2024-09-05T15:29:00Z,good,
sphere-vlf-seattle,2024-08-27T17:24:00Z,2024-08-27T20:37:00Z,good,
sphere-vlf-seattle,2024-08-27T21:37:00Z,2024-08-29T08:35:00Z,good,
sphere-vlf-seattle,2024-08-30T01:57:00Z,2024-08-31T13:08:00Z,good,
sphere-vlf-seattle,2024-09-01T06:38:00Z,2024-09-03T06:38:00Z,good,
sky-camera-seattle,2024-09-03T02:21:00Z,2024-09-03T13:10:00Z,good,
sphere-vlf-seattle,2024-09-03T13:32:00Z,2024-09-07T13:14:00Z,good,
sky-camera-seattle,2024-09-04T05:03:00Z,2024-09-04T13:59:00Z,good,
sky-camera-seattle,2024-09-05T00:51:00Z,2024-09-05T10:58:00Z,good,
sky-camera-seattle,2024-09-06T02:02:00Z,2024-09-06T10:05:00Z,good,
sky-camera-seattle,2024-09-07T00:57:00Z,2024-09-07T09:59:00Z,good,
sphere-vlf-seattle,2024-09-08T06:02:00Z,2024-09-09T01:15:00Z,good,
sky-camera-seattle,2024-09-08T06:03:00Z,2024-09-08T11:56:00Z,good,
